realSum,room_type,person_capacity,host_is_superhost,cleanliness_rating,bedrooms,dist,metro_dist
194.03369812293488,Private room,2,False,10,1,5.022963798088291,2.539380002594493
344.2457760176224,Private room,4,False,8,1,0.4883892888289836,0.2394039228349863
264.1014224451058,Private room,2,False,9,1,5.748311915159562,3.651621288793656
433.5293979799874,Private room,4,False,9,2,0.384862012821602,0.4398760761319157
485.5529257375859,Private room,2,True,10,1,0.5447381834292384,0.3186926468416831
552.808567478265,Private room,3,False,8,2,2.13142008057136,1.904668241410844
215.12431748412348,Private room,2,False,10,1,1.8810915643710744,0.7297467390303181
2771.3073840601787,Entire home/apt,4,True,10,3,1.6868069652027278,1.4584035662283186
1001.8044196564572,Entire home/apt,4,False,9,2,3.719141398657261,1.1961123528716675
276.52145384669467,Private room,2,False,10,1,3.142361425629701,0.9244044386046626
909.4743748974762,Entire home/apt,2,False,10,1,1.0099220248634968,0.9171150679278918
319.6400534295691,Private room,2,True,10,1,2.182707104451588,1.590381362751412
675.6028402034074,Entire home/apt,4,False,8,1,2.9330458432919566,0.6280730466725806
552.808567478265,Entire home/apt,2,True,10,1,1.3054939315898395,1.3421624076909515
209.03147189089125,Private room,2,False,8,1,7.304535266554101,3.720813885628837
368.8514986056758,Private room,2,True,10,1,1.0311006089592691,0.5578845347320643
368.8514986056758,Private room,2,False,10,1,1.327797157439684,0.119528106734041
337.91859020926586,Private room,2,True,10,1,1.3663342379671055,0.5349334596105503
313.54720783633684,Private room,2,True,10,1,1.2897592303027183,0.5521164877855617
447.5898108874465,Entire home/apt,2,False,9,1,1.0576193314364548,1.0653391259990903
243.2451432990416,Private room,2,True,10,1,2.8706328438025386,1.2788940751193616
933.8457572704052,Entire home/apt,4,False,10,2,1.0140664267918649,0.3771036873075551
251.91573125864133,Private room,2,False,10,1,1.2470836669767065,1.098774337645081
377.2877463501512,Private room,2,False,10,1,1.1674923014349312,0.9837430031835354
245.5885454502848,Private room,2,True,10,1,4.230634296706812,2.687144039939682
217.70205985049097,Private room,2,False,8,1,4.180814737167991,2.80843797194201
295.0343308415157,Private room,2,False,10,1,3.366018582385255,0.2258822993056595
295.0343308415157,Private room,2,False,10,1,4.1272800185441785,0.8393253845123759
1032.9716682679916,Entire home/apt,4,False,9,2,2.161607613910167,1.4241694265758251
270.4286082534624,Private room,4,True,10,1,4.88547764075742,1.0948368113158276
524.6877416633469,Entire home/apt,2,False,9,1,1.1263269723055738,1.1210705457980177
599.6766105031285,Entire home/apt,4,False,9,3,3.363590724697365,0.6974224938368218
516.0171537037471,Entire home/apt,4,False,9,2,1.0711683461395805,0.3825354028755497
602.254352869496,Entire home/apt,3,False,10,2,3.856290112898853,0.7279622388446657
504.06580273240695,Entire home/apt,4,False,9,2,4.075247886453735,1.8734109911985728
1609.9172779040612,Entire home/apt,6,False,10,3,2.9885887859177016,1.7500029807371027
310.9694654699693,Entire home/apt,2,False,9,0,4.147086685675081,0.0383546937010648
202.70428608253465,Private room,2,False,10,1,5.611750155516678,3.911722315852436
796.2880509924308,Entire home/apt,4,False,10,2,2.8549916690296686,1.7025833727524873
504.06580273240695,Private room,2,False,9,1,6.411657372487183,4.143226904079955
319.6400534295691,Private room,2,False,10,1,0.5403538681782272,0.3386577422231185
614.4400440559605,Private room,4,False,9,1,0.495828246257032,0.3327422132904341
467.0400487427648,Private room,3,False,10,1,0.5143556615734999,0.2772111229812157
716.3780376350386,Entire home/apt,5,True,10,2,3.69500542587883,0.3975279375938017
350.1042813957304,Private room,2,False,10,0,1.0978692589754402,0.9569279642150376
319.6400534295691,Private room,2,False,10,1,0.3846115997106273,0.3126380462316873
467.0400487427648,Private room,3,False,10,1,0.4715465422801259,0.1432629485982863
983.2915426616364,Entire home/apt,3,True,10,2,1.4305110577156566,1.3525869353715234
298.78377428350484,Private room,2,True,9,0,4.224208587262892,1.5193110444768114
196.6114404893024,Private room,4,False,9,1,6.198278628987274,2.3712668616978507
430.24863496824696,Entire home/apt,2,False,10,1,3.0194408531429744,0.7924066228604738
319.6400534295691,Private room,2,False,9,1,0.3633454412498557,0.2096397288159174
405.6429123801936,Private room,4,True,9,1,5.036497714450563,1.2466108857508118
334.16914676727674,Private room,2,True,10,1,1.151764132843782,0.8970263744801004
491.8801115459424,Private room,2,False,9,1,0.3751350635549438,0.1903946025634141
319.6400534295691,Private room,2,False,9,1,0.3605068051816017,0.2235065665493052
780.3529163639773,Private room,4,False,10,5,1.395578909867689,0.8572393306243391
355.025425913341,Entire home/apt,2,False,9,1,1.4833705939880382,0.5362382328069959
1044.6886790242074,Entire home/apt,4,False,10,2,1.505923967249401,0.175794704274626
847.8428983197807,Entire home/apt,4,False,10,3,1.2673284617211298,1.1579997481608375
373.7726431232864,Private room,2,True,10,1,0.9750693378669916,1.1049968776580508
613.268342980339,Entire home/apt,4,False,9,1,0.2272606763176075,0.4598073595219026
238.3239987814309,Private room,2,True,10,1,5.839438156140002,3.833064537056145
430.24863496824696,Entire home/apt,2,False,10,1,3.0295222155851818,0.9112465307319396
347.9952194596115,Entire home/apt,3,False,6,2,4.416816886287283,0.4468093520238611
330.4197033252877,Entire home/apt,2,False,10,1,2.564051903620257,1.2481531877884884
1179.6686429358142,Entire home/apt,4,True,10,2,0.6265683252747638,0.5815343983346937
259.1802779274952,Private room,2,True,10,1,5.241484167950498,0.6712405206030825
277.9274951374406,Private room,2,True,10,1,3.83291422506462,2.3918012298079425
467.0400487427648,Entire home/apt,3,False,9,2,2.3878907808382155,1.4303944319621709
